deptno,deptname,mgrno,admrdept,location,DATE_CREATED,DEPT_CONTACT_NO
A00,"SPIFFY COMPUTER SERVICE DIV.",000010,A00,"1ST FLR. ADMIN BLDG.",NULL,NULL
B01,PLANNING,000020,A00,"2ND FLR. ADMIN BLDG.",NULL,NULL
C01,"INFORMATION CENTER",000030,A00,"GRND. FLR. MAIN BLDG.",NULL,NULL
D01,"DEVELOPMENT CENTER",NULL,A00,"1ST FLR MAIN BLDG.",NULL,NULL
D11,"MANUFACTURING SYSTEMS",000060,D01,"GRND, 1ST FLR. PRODUCTION BLDG.",NULL,NULL
D21,"ADMINISTRATION SYSTEMS",000070,D01,"GRND. FLR ADMIN BLDG.",NULL,NULL
E01,"SUPPORT SERVICES",000050,A00,"2ND FLR. MAIN BLDG.",NULL,NULL
E11,OPERATIONS,000090,E01,"2ND FLR. PRODUCTION BLDG.",NULL,NULL
E21,"SOFTWARE SUPPORT",000100,E01,"3RD FLR. PRODUCTION BLDG.",NULL,NULL
F22,"BRANCH OFFICE 1",NULL,E01,"NORTH OFFICE",NULL,NULL
G22,"BRANCH OFFICE 2",NULL,E11,"SOUTH OFFICE",NULL,NULL
H22,"BRANCH OFFICE 3",NULL,E11,"EAST OFFICE",NULL,NULL
I22,"BRANCH OFFICE 4",NULL,E21,"WEST OFFICE",NULL,NULL
J22,"BRANCH OFFICE 5",NULL,E21,"NORTH EAST OFFICE",NULL,NULL
K22,"BRANCH OFFICE 6",NULL,E21,"SOUTH WEST OFFICE",NULL,NULL
