projno,projname,actno
AD3100,"ADMIN SERVICES",10
AD3110,"GENERAL ADMIN SYSTEMS",10
MA2111,"W L PROGRAM DESIGN",10
MA2111,"W L PROGRAM DESIGN",40
MA2111,"W L PROGRAM DESIGN",50
AD3111,"PAYROLL PROGRAMMING",60
AD3112,"PERSONNEL PROGRAMMING",60
AD3113,"ACCOUNT PROGRAMMING",60
MA2111,"W L PROGRAM DESIGN",60
AD3111,"PAYROLL PROGRAMMING",70
AD3112,"PERSONNEL PROGRAMMING",70
AD3113,"ACCOUNT PROGRAMMING",70
AD3111,"PAYROLL PROGRAMMING",80
AD3112,"PERSONNEL PROGRAMMING",80
AD3113,"ACCOUNT PROGRAMMING",80
OP2011,"SCP SYSTEMS SUPPORT",140
OP2011,"SCP SYSTEMS SUPPORT",150
AD3111,"PAYROLL PROGRAMMING",180
AD3112,"PERSONNEL PROGRAMMING",180
AD3113,"ACCOUNT PROGRAMMING",180
